Videocard Name,Passmark G3D Mark
FirePro 3D V3800,472
FirePro 3D V4800,853
FirePro 3D V5700,546
FirePro 3D V5800,1231
FirePro 3D V7750,545
FirePro 3D V7800,1867
FirePro 3D V8700,1206
FirePro 3D V8750,1271
FirePro 3D V8800,2437
FirePro 3D V9800,2811
FirePro M2000,425
FirePro M4000,1598
FirePro M4000 Mobility Pro,1629
FirePro M40003,1364
Firepro M4100,1059
FirePro M4150,1011
FirePro M4170,1167
FirePro M5100,1874
FirePro M5100 FireGL V,1839
FirePro M5950,1314
FirePro M6000,1820
FirePro M6000 Mobility Pro,1690
FirePro M6100,2495
FirePro M6100 FireGL V,2884
FirePro M7740,665
FirePro R5000,2646
FirePro RG220,335
FirePro S10000,4537
FirePro S7000,4523
FirePro S7150,3770
FirePro S9000,5059
FirePro S9050,4901
FirePro V3800,320
FirePro V3900,631
FirePro V4900,1009
FirePro V5700,464
FirePro V5800,1184
FirePro V5900,1232
FirePro V7000,3161
FirePro V7800,2028
FirePro V7900,2260
FirePro V8700,1538
FirePro V8800,2280
FirePro V9800,2726
FirePro W2100,851
FirePro W4100,1497
FirePro W4170M,1050
Firepro W4190M,1168
FirePro W4300,2718
FirePro W5000,2967
FirePro W5100,2976
FirePro W5130M,1416
Firepro W5170M,1781
FirePro W600,1694
FirePro W6150M,2358
FirePro W7000,4309
FirePro W7000 Adapter,4382
FirePro W7100,5064
FirePro W7170M,3604
FirePro W8000,4259
FirePro W8100,6812
FirePro W9000,6157
FirePro W9100,7747
FireStream 9170,647
FireStream 9250,1164
FireStream 9270,1341
FireStream 9370,2528
GameViewer Virtual Display Adapter,10811
GeCube RADEON 7000,8
GeForce 205,126
GeForce 210,138
GeForce 240M GT,319
GeForce 256,5
GeForce 305M,150
GeForce 310,143
GeForce 310M,127
GeForce 315,196
GeForce 315M,114
GeForce 320M,209
GeForce 405,117
GeForce 410M,273
GeForce 505,143
GeForce 510,290
GeForce 605,330
GeForce 6100,27
GeForce 6100 nForce 400,25
GeForce 6100 nForce 405,26
GeForce 6100 nForce 420,25
GeForce 6100 nForce 430,23
GeForce 610M,292
GeForce 615,505
GeForce 6150,21
GeForce 6150 LE,33
GeForce 6150SE,24
GeForce 6150SE nForce 430,30
GeForce 6200,37
GeForce 6200 A-LE,32
GeForce 6200 LE,32
GeForce 6200 TurboCache,51
GeForce 6200A,3
GeForce 6200SE TurboCache,37
GeForce 6500,38
GeForce 6600,85
GeForce 6600 GT,142
GeForce 6600 LE,51
GeForce 6610 XL,88
GeForce 6700 XL,95
GeForce 6800,112
GeForce 6800 GS,191
GeForce 6800 GS/XT,102
GeForce 6800 GT,142
GeForce 6800 LE,109
GeForce 6800 Ultra,138
GeForce 6800 XE,58
GeForce 6800 XT,120
GeForce 7000M,13
GeForce 7000M / nForce 610M,12
GeForce 7025 / nForce 630a,32
GeForce 7050 / nForce 610i,25
GeForce 7050 / nForce 620i,41
GeForce 7050 / nForce 630i,37
GeForce 7050 PV / nForce 630a,31
GeForce 705M,455
GeForce 7100 / nForce 620i,26
GeForce 7100 / nForce 630i,41
GeForce 7100 GS,51
GeForce 710A,428
GeForce 710M,448
GeForce 7150 / nForce 630i,33
GeForce 7150M / nForce 630M,18
GeForce 7200 GS,23
GeForce 720A,577
GeForce 7300 GS,80
GeForce 7300 GT,123
GeForce 7300 LE,81
GeForce 7300 SE,39
GeForce 7300 SE/7200 GS,47
GeForce 730A,764
GeForce 7350 LE,74
GeForce 7500 LE,84
GeForce 7600 GS,166
GeForce 7600 GT,237
GeForce 7650 GS,134
GeForce 770M,3245
GeForce 7800 GS,177
GeForce 7800 GT,244
GeForce 7800 GTX,268
GeForce 7900 GS,262
GeForce 7900 GT,258
GeForce 7900 GT/GTO,247
GeForce 7900 GTX,387
GeForce 7950 GT,346
GeForce 7950 GX2,201
GeForce 7950 Xtreme,287
GeForce 800A,435
GeForce 800M,477
GeForce 8100 / nForce 720a,79
GeForce 810A,655
GeForce 810M,419
GeForce 8200,163
GeForce 8200M G,65
GeForce 820A,556
GeForce 820M,481
GeForce 825M,760
GeForce 8300,101
GeForce 8300 GS,115
GeForce 830A,1173
GeForce 830M,1003
GeForce 8400,81
GeForce 8400 GS,163
GeForce 8400 SE,68
GeForce 8400M G,105
GeForce 8400M GS,103
GeForce 8400M GT,66
GeForce 840A,1114
GeForce 840M,1099
GeForce 845M,1487
GeForce 8500 GT,169
GeForce 8600 GS,179
GeForce 8600 GT,140
GeForce 8600 GTS,184
GeForce 8600M GS,88
GeForce 8600M GT,163
GeForce 8700M GT,124
GeForce 8800 GS,330
GeForce 8800 GT,456
GeForce 8800 GTS,406
GeForce 8800 GTS 512,549
GeForce 8800 GTX,555
GeForce 8800 Ultra,642
GeForce 8800M GTS,382
GeForce 8800M GTX,462
GeForce 9100,81
GeForce 9100M G,83
GeForce 910M,599
GeForce 9200,168
GeForce 9200M GE,143
GeForce 9200M GS,129
GeForce 920A,829
GeForce 920M,717
GeForce 920MX,1063
GeForce 9300,126
GeForce 9300 / nForce 730i,128
GeForce 9300 GE,102
GeForce 9300 GS,102
GeForce 9300 SE,81
GeForce 9300GE,97
GeForce 9300M G,84
GeForce 9300M GS,118
GeForce 930A,1240
GeForce 930M,1012
GeForce 930MX,1276
GeForce 9400,146
GeForce 9400 GT,194
GeForce 9400M,101
GeForce 9400M G,94
GeForce 940A,1106
GeForce 940M,1133
GeForce 940MX,1508
GeForce 9450,104
GeForce 945A,1852
GeForce 945M,2108
GeForce 9500 GS,215
GeForce 9500 GT,190
GeForce 9500M,103
GeForce 9500M G,121
GeForce 9500M GS,132
GeForce 9600 GS,281
GeForce 9600 GSO,323
GeForce 9600 GSO 512,329
GeForce 9600 GT,473
GeForce 9600M GS,130
GeForce 9600M GT,163
GeForce 9600M GT / GeForce GT 220M,293
GeForce 9650M GS,270
GeForce 9650M GT,137
GeForce 9700M GT,327
GeForce 9700M GTS,311
GeForce 9800 GT,448
GeForce 9800 GT 1024MB,134
GeForce 9800 GTX,769
GeForce 9800 GTX+,488
GeForce 9800 GTX/9800 GTX+,570
GeForce 9800 GX2,612
GeForce 9800 S,635
GeForce 9800M GS,516
GeForce 9800M GT,381
GeForce 9800M GTS,356
GeForce 9800M GTX,454
GeForce 999 GTX,83
GeForce FX 5100,7
GeForce FX 5200,7
GeForce FX 5200 Ultra,12
GeForce FX 5200LE,7
GeForce FX 5200SE,11
GeForce FX 5500,8
GeForce FX 5600,12
GeForce FX 5600 Ultra,17
GeForce FX 5600XT,9
GeForce FX 5700,40
GeForce FX 5700 Ultra,34
GeForce FX 5700LE,24
GeForce FX 5700VE,33
GeForce FX 5900,34
GeForce FX 5900 Ultra,41
GeForce FX 5900XT,40
GeForce FX 5900ZT,32
GeForce FX 5950 Ultra,59
GeForce FX Go 5200,8
GeForce FX Go 5600,17
GeForce FX Go5300,12
GeForce FX Go5650,16
GeForce FX Go5700,51
GeForce G 103M,62
GeForce G 105M,92
GeForce G100,176
GeForce G102M,167
GeForce G105M,133
GeForce G200,136
GeForce G205M,91
GeForce G210,147
GeForce G210M,129
GeForce Go 6100,17
GeForce Go 6150,19
GeForce Go 6200,15
GeForce Go 6400,24
GeForce Go 6600,69
GeForce Go 6600 TE/6200 TE,44
GeForce Go 6800,106
GeForce Go 6800 Ultra,137
GeForce Go 7200,45
GeForce Go 7300,52
GeForce Go 7400,65
GeForce Go 7600,127
GeForce Go 7600 GT,210
GeForce Go 7700,147
GeForce Go 7800,114
GeForce Go 7800 GTX,209
GeForce Go 7900 GS,177
GeForce Go 7900 GTX,270
GeForce Go 7950 GTX,263
GeForce GPU,1152
GeForce GT 1010,972
GeForce GT 1030,2405
GeForce GT 120,187
GeForce GT 120 / 9500 GT,324
GeForce GT 120M,150
GeForce GT 130,381
GeForce GT 130M,145
GeForce GT 140,657
GeForce GT 220,222
GeForce GT 220M,160
GeForce GT 230,323
GeForce GT 230M,221
GeForce GT 240,493
GeForce GT 240M,211
GeForce GT 320,470
GeForce GT 320M,113
GeForce GT 325M,169
GeForce GT 330,393
GeForce GT 330M,220
GeForce GT 335M,367
GeForce GT 340,738
GeForce GT 415,251
GeForce GT 415M,286
GeForce GT 420,431
GeForce GT 420M,392
GeForce GT 425M,498
GeForce GT 430,602
GeForce GT 435M,535
GeForce GT 440,770
GeForce GT 445M,811
GeForce GT 520,323
GeForce GT 520M,284
GeForce GT 520MX,291
GeForce GT 525M,449
GeForce GT 530,662
GeForce GT 540M,474
GeForce GT 545,1114
GeForce GT 550M,561
GeForce GT 555M,647
GeForce GT 610,331
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368
GeForce GT 620,389
GeForce GT 620M,431
GeForce GT 625,374
GeForce GT 625M,484
GeForce GT 630,686
GeForce GT 630M,520
GeForce GT 635,809
GeForce GT 635M,539
GeForce GT 640,1168
GeForce GT 640M,900
GeForce GT 640M LE,698
GeForce GT 645,2005
GeForce GT 645M,943
GeForce GT 650M,1188
GeForce GT 705,370
GeForce GT 710,619
GeForce GT 710M,431
GeForce GT 720,659
GeForce GT 720A,566
GeForce GT 720M,440
GeForce GT 730,823
GeForce GT 730A,742
GeForce GT 730M,807
GeForce GT 735M,654
GeForce GT 740,1425
GeForce GT 740A,710
GeForce GT 740M,781
GeForce GT 745A,1233
GeForce GT 745M,1080
GeForce GT 750M,1333
GeForce GT 755M,1726
GeForce GT 820M,541
GeForce GT625M,421
GeForce GTS 150M,504
GeForce GTS 160M,678
GeForce GTS 240,515
GeForce GTS 250,568
GeForce GTS 250M,519
GeForce GTS 350M,380
GeForce GTS 360M,640
GeForce GTS 450,1338
GeForce GTX 1050,5035
GeForce GTX 1050 (Mobile),4462
GeForce GTX 1050 3GB,5102
GeForce GTX 1050 Ti,6350
GeForce GTX 1050 Ti (Mobile),5917
GeForce GTX 1050 Ti with Max-Q Design,5314
GeForce GTX 1050 with Max-Q Design,3920
GeForce GTX 1060,10063
GeForce GTX 1060 (Mobile),8160
GeForce GTX 1060 3GB,9820
GeForce GTX 1060 5GB,9189
GeForce GTX 1060 with Max-Q Design,7846
GeForce GTX 1070,13506
GeForce GTX 1070 (Mobile),10465
GeForce GTX 1070 Ti,14672
GeForce GTX 1070 with Max-Q Design,9841
GeForce GTX 1080,15611
GeForce GTX 1080 Ti,18598
GeForce GTX 1080 with Max-Q Design,11603
GeForce GTX 1630,4992
GeForce GTX 1650,7868
GeForce GTX 1650 (Mobile),6968
GeForce GTX 1650 SUPER,10187
GeForce GTX 1650 Ti,7519
GeForce GTX 1650 Ti with Max-Q Design,6570
GeForce GTX 1650 with Max-Q Design,6313
GeForce GTX 1660,11637
GeForce GTX 1660 SUPER,12692
GeForce GTX 1660 Ti,12735
GeForce GTX 1660 Ti (Mobile),10114
GeForce GTX 1660 Ti with Max-Q Design,8599
GeForce GTX 260,1200
GeForce GTX 260M,382
GeForce GTX 275,1350
GeForce GTX 280,1285
GeForce GTX 280M,575
GeForce GTX 285,1475
GeForce GTX 285M,584
GeForce GTX 295,1210
GeForce GTX 460,2277
GeForce GTX 460 SE,1992
GeForce GTX 460 v2,2044
GeForce GTX 460M,1217
GeForce GTX 465,2653
GeForce GTX 470,3147
GeForce GTX 470M,1953
GeForce GTX 480,4077
GeForce GTX 480M,1653
GeForce GTX 485M,2359
GeForce GTX 550 Ti,1555
GeForce GTX 555,1603
GeForce GTX 560,2772
GeForce GTX 560 SE,1847
GeForce GTX 560 Ti,3079
GeForce GTX 560M,1283
GeForce GTX 570,3929
GeForce GTX 570M,1879
GeForce GTX 580,4633
GeForce GTX 580M,1771
GeForce GTX 590,3341
GeForce GTX 645,1881
GeForce GTX 650,1756
GeForce GTX 650 Ti,2526
GeForce GTX 650 Ti BOOST,3409
GeForce GTX 660,4041
GeForce GTX 660 Ti,4412
GeForce GTX 660M,1451
GeForce GTX 670,5363
GeForce GTX 670M,1707
GeForce GTX 670MX,1977
GeForce GTX 675M,1854
GeForce GTX 675MX,2950
GeForce GTX 680,5614
GeForce GTX 680M,3276
GeForce GTX 680M KY_Bullet Edition,3568
GeForce GTX 680MX,3799
GeForce GTX 690,5535
GeForce GTX 745,2125
GeForce GTX 750,3312
GeForce GTX 750 Ti,3900
GeForce GTX 760,4815
GeForce GTX 760 Ti,5306
GeForce GTX 760 Ti OEM,5474
GeForce GTX 760A,1226
GeForce GTX 760M,1727
GeForce GTX 765M,2014
GeForce GTX 770,5959
GeForce GTX 770M,2784
GeForce GTX 775M,3927
GeForce GTX 780,7952
GeForce GTX 780 Ti,9464
GeForce GTX 780M,3858
GeForce GTX 850A,767
GeForce GTX 850M,2537
GeForce GTX 850M - MODDED,1091
GeForce GTX 860M,3091
GeForce GTX 870M,3535
GeForce GTX 880M,3833
GeForce GTX 950,5357
GeForce GTX 950A,2598
GeForce GTX 950M,2573
GeForce GTX 960,6133
GeForce GTX 960A,3464
GeForce GTX 960M,3374
GeForce GTX 965M,3866
GeForce GTX 970,9639
GeForce GTX 970M,5705
GeForce GTX 970XM FORCE,6706
GeForce GTX 980,11069
GeForce GTX 980 Ti,13705
GeForce GTX 980M,7360
GeForce GTX Titan,8181
GeForce GTX TITAN Black,9177
GeForce GTX TITAN X,12600
GeForce GTX TITAN Z,8810
GeForce MX110,1414
GeForce MX130,1803
GeForce MX150,2253
GeForce MX230,1826
GeForce MX250,2377
GeForce MX330,2348
GeForce MX350,2829
GeForce MX450,3721
GeForce MX550,4483
GeForce MX570,5737
GeForce MX570 A,6228
GeForce PCX 5300,6
GeForce PCX 5750,34
GeForce PCX 5900,34
GeForce RTX 2050,7713
GeForce RTX 2060,14114
GeForce RTX 2060 (Mobile),11352
GeForce RTX 2060 12GB,15939
GeForce RTX 2060 SUPER,16475
GeForce RTX 2060 with Max-Q Design,9655
GeForce RTX 2070,16063
GeForce RTX 2070 (Mobile),12357
GeForce RTX 2070 SUPER,18157
GeForce RTX 2070 Super with Max-Q Design,13443
GeForce RTX 2070 with Max-Q Design,11458
GeForce RTX 2080,18671
GeForce RTX 2080 (Mobile),15013
GeForce RTX 2080 SUPER,19467
GeForce RTX 2080 Super with Max-Q Design,13524
GeForce RTX 2080 Ti,21511
GeForce RTX 2080 with Max-Q Design,12740
GeForce RTX 3050 4GB Laptop GPU,9493
GeForce RTX 3050 6GB,10751
GeForce RTX 3050 6GB Laptop GPU,10126
GeForce RTX 3050 8GB,12532
GeForce RTX 3050 A Laptop GPU,11269
GeForce RTX 3050 Laptop GPU,12144
GeForce RTX 3050 OEM,11899
GeForce RTX 3050 Ti Laptop GPU,10080
GeForce RTX 3060,16971
GeForce RTX 3060 12GB,16777
GeForce RTX 3060 8GB,15215
GeForce RTX 3060 Laptop GPU,13169
GeForce RTX 3060 Ti,20305
GeForce RTX 3070,22167
GeForce RTX 3070 Laptop GPU,15177
GeForce RTX 3070 Ti,23296
GeForce RTX 3070 Ti Laptop GPU,17599
GeForce RTX 3080,25070
GeForce RTX 3080 12GB,26575
GeForce RTX 3080 Laptop GPU,16227
GeForce RTX 3080 Ti,26822
GeForce RTX 3080 Ti Laptop GPU,19054
GeForce RTX 3090,26590
GeForce RTX 3090 Ti,29389
GeForce RTX 4050 Laptop GPU,14337
GeForce RTX 4060,19545
GeForce RTX 4060 Laptop GPU,17402
GeForce RTX 4060 Ti,22637
GeForce RTX 4060 Ti 16GB,22705
GeForce RTX 4070,26917
GeForce RTX 4070 Laptop GPU,19552
GeForce RTX 4070 SUPER,29953
GeForce RTX 4070 Ti,31578
GeForce RTX 4070 Ti SUPER,31831
GeForce RTX 4080,34463
GeForce RTX 4080 Laptop GPU,24815
GeForce RTX 4080 SUPER,34227
GeForce RTX 4090,38110
GeForce RTX 4090 D,30620
GeForce RTX 4090 Laptop GPU,27085
GeForce RTX 5050,17101
GeForce RTX 5050 Laptop GPU,14867
GeForce RTX 5060,20822
GeForce RTX 5060 Laptop GPU,17309
GeForce RTX 5060 Ti 16GB,22782
GeForce RTX 5060 Ti 8GB,22636
GeForce RTX 5070,28834
GeForce RTX 5070 Laptop GPU,19592
GeForce RTX 5070 Ti,32527
GeForce RTX 5070 Ti Laptop GPU,23052
GeForce RTX 5080,35873
GeForce RTX 5080 Laptop GPU,26675
GeForce RTX 5090,38878
GeForce RTX 5090 D,40831
GeForce RTX 5090 D v2,30398
GeForce RTX 5090 Laptop GPU,28987
GeForce2 Go,4
GeForce2 GTS/GeForce2 Pro,3
GeForce2 Integrated GPU,4
GeForce2 MX,2
GeForce2 MX 100/200,3
GeForce2 MX with DVI-D and TV-out,4
GeForce2 MX with TV Out,2
GeForce2 MX/MX 400,3
GeForce2 Ti,4
GeForce2 Ultra,6
GeForce3,4
GeForce3 Ti 200,4
GeForce3 Ti 500,2
GeForce4 420 Go,3
GeForce4 420 Go 32M,5
GeForce4 4200 Go,3
GeForce4 440,4
GeForce4 440 Go,3
GeForce4 440 Go 64M,5
GeForce4 448 Go,5
GeForce4 MX 4000,4
GeForce4 MX 420,4
GeForce4 MX 440,4
GeForce4 MX 440 with AGP8X,4
GeForce4 MX 440SE,4
GeForce4 MX 460,4
GeForce4 MX Integrated GPU,6
GeForce4 Ti 4200,5
GeForce4 Ti 4400,7
GeForce4 Ti 4600,5
GeForce4 Ti 4800,5
GeForce4 Ti 4800 SE,6
GeForce9400M,105
GF117,554
Glenfly Arise-GT-10C0,1007
GRID GTX P40-6,4340
GRID K1,650
GRID K120Q,293
GRID K140Q,727
GRID K160Q,628
GRID K180Q,533
GRID K2,2736
GRID K220Q,912
GRID K240Q,2541
GRID K260Q,2949
GRID K280Q,2839
GRID K520,3516
GRID M10-0B,870
GRID M10-0Q,795
GRID M10-1B,1503
GRID M10-1Q,2384
GRID M10-2B,1643
GRID M10-2Q,2691
GRID M10-4Q,2976
GRID M10-8Q,2595
GRID M6-0B,911
GRID M6-1Q,2069
GRID M6-8Q,3568
GRID M60-0B,1838
GRID M60-0Q,827
GRID M60-1B,2256
GRID M60-1Q,3694
GRID M60-2Q,5203
GRID M60-4Q,3831
GRID M60-8A,5523
GRID M60-8Q,3883
GRID P100-16Q,5944
GRID P100-1B,2223
GRID P100-8Q,3345
GRID P4-1B,2151
GRID P4-1Q,729
GRID P4-2B4,2753
GRID P4-2Q,3162
GRID P4-4Q,6234
GRID P4-8A,3206
GRID P4-8Q,5283
GRID P40-12Q,5540
GRID P40-1B,3690
GRID P40-1Q,3839
GRID P40-24Q,7056
GRID P40-2B,9842
GRID P40-2B4,6501
GRID P40-2Q,9580
GRID P40-3Q,6569
GRID P40-4Q,5926
GRID P40-8Q,7507
GRID P6-2Q,3925
GRID P6-4Q,4429
GRID RTX6000-1B,8473
GRID RTX6000-1Q,12616
GRID RTX6000-24Q,6521
GRID RTX6000-6Q,21986
GRID RTX6000P-2B,3122
GRID RTX6000P-6Q,4777
GRID T4-16Q,4435
GRID T4-1B,1159
GRID T4-1Q,3302
GRID T4-2B,2730
GRID T4-2Q,3668
GRID T4-4Q,3598
GRID T4-8Q,4761
GRID V100-8Q,16
GRID V100D-8Q,4155
GT 430,223
ICE DISPLAY WDDM DRIVER,1784
IncrediblE HD,389
IncrediblE HD 4000,517
IncrediblE HD 4600,749
Intel - Express Chipset G41,56
Intel - Express Chipset Q45/Q43,57
Intel 2nd Generation SandyBridge HD,169
Intel 2nd Generation SandyBridge HD 3000,205
Intel 4th Generation Haswell HD,419
Intel 82845G Controller,2
Intel 82845G/GL Controller,2
Intel 82845G/GL/GE/PE/GV Controller,2
Intel 82852/82855 GM/GME Controller,1
Intel 82865G Controller,4
Intel 82915G Express,5
Intel 82915G/915GV/910GL,3
Intel 82915G/GV/910GL Advanced v3.5,2
Intel 82915G/GV/910GL Express,3
Intel 82945G Express,9
Intel 82945G Express-Chipsatzfamilie,8
Intel 865 Embedded Controller,3
"Intel 915G,910G Express",4
Intel 915G/915GV/910GL Embedded Controller Functio,4
Intel 945G Embedded Chipset Function 0,4
Intel 946GZ Embedded Chipset,3
Intel 946GZ Express,2
Intel Arc,5490
Intel Arc 130T GPU,6209
Intel Arc 130V GPU,4513
Intel Arc 140T,5634
Intel Arc 140T GPU,6685
Intel Arc 140V GPU,5172
Intel Arc A310,5438
Intel Arc A310 LP,4929
Intel Arc A370M,5115
Intel Arc A380,6295
Intel Arc A380E,6290
Intel Arc A530M,7993
Intel Arc A580,12044
Intel Arc A730M,9808
Intel Arc A750,12590
Intel Arc A770,13322
Intel Arc A770M,11854
Intel Arc B390 GPU,9452
Intel Arc B570,14067
Intel Arc B580,15978
Intel Arc GPU,9348
Intel Arc Pro,5859
Intel Arc Pro 130T GPU,6112
Intel Arc Pro 140T GPU,6697
Intel Arc Pro A40/A50,5652
Intel Arc Pro A60,9493
Intel Arc Pro B50,12483
Intel Arc Pro B60,14059
Intel B43 Express Chipset,138
Intel Coffee Lake UHD,1158
Intel Extreme Controller,1
Intel G33/G31 Express,35
Intel G35 Express,96
Intel G41 Express Chipset,152
Intel G41 Express-Chipsatz,57
Intel G45/G43 Express Chipset,144
Intel G45/G43/G41 Express Chipset,67
Intel G965 Express,195
Intel GMA 3150 Express,2
Intel Graphics,3174
Intel Haswell HD - GT1,123
Intel Haswell HD - GT2,139
Intel HD 2000,213
Intel HD 3000,261
Intel HD 4000,344
Intel HD 4400,529
Intel HD 4600,630
Intel HD 4600 manual-gen9_2015-134121,619
Intel HD 500,302
Intel HD 5000,586
Intel HD 505,360
Intel HD 510,620
Intel HD 515,637
Intel HD 520,861
Intel HD 5200,830
Intel HD 530,990
Intel HD 5300,407
Intel HD 5500,595
Intel HD 5600,1868
Intel HD 6000,873
Intel HD 610,677
Intel HD 615,692
Intel HD 630,1110
Intel HD Family,464
Intel HD Graphics 620,919
Intel HD manual-15.28-1861,62
Intel HD manual-gen9_2015-133271,165
Intel HD Modded,112
Intel HD P3000,282
Intel HD P4000,516
Intel HD P4600,505
Intel HD P4600/P4700,630
Intel HD P530,1153
Intel HD P630,1280
Intel Infoshock HD,193
Intel Iris 5100,728
Intel Iris 540,1269
Intel Iris 550,1446
Intel Iris 6100,899
Intel Iris 650,1432
Intel Iris Plus,1788
Intel Iris Plus 640,1354
Intel Iris Plus 645,1752
Intel Iris Plus 650,1591
Intel Iris Plus 655,1729
Intel Iris Pro 5200,1169
Intel Iris Pro 580,1985
Intel Iris Pro 6100,925
Intel Iris Pro Graphics 6200,1536
Intel Iris Pro P580,2025
Intel Iris Pro P6300,1582
Intel Iris Xe,2620
Intel Iris Xe MAX,1971
Intel Iris Xe MAX 100,1964
Intel Media Accelerator,32
Intel Media Accelerator 3150,2
Intel Media Accelerator 500,3
Intel Media Accelerator 600,6
Intel Media Accelerator HD,110
Intel Poison Ivy,738
Intel Q33 Express,7
Intel Q35 Embedded,8
Intel Q35 Express,58
Intel Q45/Q43 Express Chipset,202
Intel Q45/Q43 Express-Chipsatz,57
Intel Q965/Q963 Express,119
Intel Skylake HD DT GT2,576
Intel UHD 630,614
Intel UHD 770,790
Intel UHD Graphics,1512
Intel UHD Graphics 600,312
Intel UHD Graphics 605,364
Intel UHD Graphics 610,686
Intel UHD Graphics 615,717
Intel UHD Graphics 617,819
Intel UHD Graphics 620,1041
Intel UHD Graphics 630,1230
Intel UHD Graphics 710,1051
Intel UHD Graphics 730,1537
Intel UHD Graphics 750,1701
Intel UHD Graphics 770,1913
Intel UHD Graphics P630,1806
Intel UHD Graphics P750,1668
Intel US15 Embedded Media and Controller,7
ION,108
ION LE,97
L4,10153
L4-1B,1263
L4-1Q,258
L4-2A,3063
L4-2B,1674
L4-2Q,4062
L4-4Q,4942
L4-6Q,4473
L4-8Q,7846
L40-48Q,33269
L40-4Q,32600
L40-8Q,11670
L40S,20022
L40S-12Q,4426
L40S-1Q,2046
L40S-24Q,3257
L40S-4Q,4960
L40S-8Q,5414
LuminonCore IDDCX Adapter,6479
M860G with Mobility Radeon 4100,75
M880G with Mobility Radeon HD 4200,92
M880G with Mobility Radeon HD 4225,71
M880G with Mobility Radeon HD 4250,104
MacroSilicon USB Display Ryzen 7 6800U,3939
Master X3100 Driver,10
Matrox C420 LP PCIe x16,597
Matrox C680 PCIe x16,1803
Matrox C900 PCIe x16,1812
Matrox G200e WDDM 1.2,59
Matrox G200e WDDM 2.0,100
Matrox G200eh,40
Matrox G200eh WDDM 1.2,51
Matrox G200eh WDDM 2.0,54
Matrox G200eR,36
Matrox G200eR WDDM 1.2,45
Matrox G200eR WDDM 2.0,67
Matrox G200eW,39
Matrox G200eW WDDM 1.2,50
Matrox G200eW3 WDDM 2.0,89
Matrox LUMA A310,3690
Matrox LUMA A310F,3873
Matrox LUMA A380P,5811
Matrox M9120 PCIe x16,19
Matrox M9120 Plus LP PCIe x16,25
Matrox M9125 PCIe x16,25
Matrox M9128 LP PCIe x16,31
Matrox M9138 LP PCIe x16,433
Matrox M9140 LP PCIe x16,23
Matrox M9148 LP PCIe x16,40
Matrox M9188 ATX PCIe x16,45
Matrox Millennium P650 PCIe 128,5
Matrox Millennium P690 PCIe x16,366
Matrox Millennium P690 Plus LP PCIe x16,6
